danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.723,0.448,0,-7.508,1,0.06,0.597,1.11e-06,0.131,0.376,62.491,audio_features,3j36w2RY7uyBFWkcG8MKmB,spotify:track:3j36w2RY7uyBFWkcG8MKmB,https://api.spotify.com/v1/tracks/3j36w2RY7uyBFWkcG8MKmB,https://api.spotify.com/v1/audio-analysis/3j36w2RY7uyBFWkcG8MKmB,214425,4
0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,audio_features,4P0osvTXoSYZZC2n8IFH3c,spotify:track:4P0osvTXoSYZZC2n8IFH3c,https://api.spotify.com/v1/tracks/4P0osvTXoSYZZC2n8IFH3c,https://api.spotify.com/v1/audio-analysis/4P0osvTXoSYZZC2n8IFH3c,231387,4
0.661,0.907,1,-4.764,0,0.0448,0.0497,0,0.0508,0.967,149.928,audio_features,2RjpDxBii8EvC6p6wxwCSz,spotify:track:2RjpDxBii8EvC6p6wxwCSz,https://api.spotify.com/v1/tracks/2RjpDxBii8EvC6p6wxwCSz,https://api.spotify.com/v1/audio-analysis/2RjpDxBii8EvC6p6wxwCSz,173693,4
0.779,0.541,0,-6.824,1,0.0658,0.566,0,0.13,0.447,124.939,audio_features,6FRLCMO5TUHTexlWo8ym1W,spotify:track:6FRLCMO5TUHTexlWo8ym1W,https://api.spotify.com/v1/tracks/6FRLCMO5TUHTexlWo8ym1W,https://api.spotify.com/v1/audio-analysis/6FRLCMO5TUHTexlWo8ym1W,235545,4
0.662,0.908,1,-4.764,0,0.0449,0.0506,0,0.0508,0.967,149.941,audio_features,4V9JDRqKjN8F2HWdlEDxvI,spotify:track:4V9JDRqKjN8F2HWdlEDxvI,https://api.spotify.com/v1/tracks/4V9JDRqKjN8F2HWdlEDxvI,https://api.spotify.com/v1/audio-analysis/4V9JDRqKjN8F2HWdlEDxvI,173693,4
0.321,0.49,2,-6.139,1,0.0295,0.586,0,0.0644,0.279,149.563,audio_features,3xiccJ9jlTVwC8Yl66eGv5,spotify:track:3xiccJ9jlTVwC8Yl66eGv5,https://api.spotify.com/v1/tracks/3xiccJ9jlTVwC8Yl66eGv5,https://api.spotify.com/v1/audio-analysis/3xiccJ9jlTVwC8Yl66eGv5,219800,3
0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102.0,audio_features,4llK75pXNWZz6KAho2Gp16,spotify:track:4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/tracks/4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/audio-analysis/4llK75pXNWZz6KAho2Gp16,259453,4
0.807,0.396,11,-7.415,1,0.0545,0.855,0,0.0805,0.7,91.159,audio_features,3p4WMekidOIiyf8SFvfrIC,spotify:track:3p4WMekidOIiyf8SFvfrIC,https://api.spotify.com/v1/tracks/3p4WMekidOIiyf8SFvfrIC,https://api.spotify.com/v1/audio-analysis/3p4WMekidOIiyf8SFvfrIC,189486,4
0.55,0.667,7,-8.613,1,0.0776,0.57,0,0.705,0.763,82.767,audio_features,3bXhtg6H8lOMWaLZttQF6F,spotify:track:3bXhtg6H8lOMWaLZttQF6F,https://api.spotify.com/v1/tracks/3bXhtg6H8lOMWaLZttQF6F,https://api.spotify.com/v1/audio-analysis/3bXhtg6H8lOMWaLZttQF6F,254853,4
0.618,0.504,11,-9.328,0,0.0319,0.496,4.73e-06,0.698,0.58,98.12,audio_features,2sLS4tVaEoMYrNS67PVz0V,spotify:track:2sLS4tVaEoMYrNS67PVz0V,https://api.spotify.com/v1/tracks/2sLS4tVaEoMYrNS67PVz0V,https://api.spotify.com/v1/audio-analysis/2sLS4tVaEoMYrNS67PVz0V,276787,4
